StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,MTURK_ID,familiar,severity1,severity2,severity3,severity4,severity5,origin1,origin2,origin3,origin4,covidvax1,covidvax2,covidvax3,skep1,skep2,skep3,skep4,vaxeff_1,vaxeff_2,vaxeff_3,vaxeff_4,AC1,xeno1,xeno2,xeno3,xeno4,politics1,politics2,politics3,econ_1,econ_2,econ_3,AC2,Explain,Thoughts,Gender,Age,Ethnicity,Region,State,Rural,newshours,SocialIssues_1,FiscalIssues_1,FINAL_AC,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count
5/19/20 13:02,5/19/20 13:05,0,196.17.64.40,100,149,1,5/19/20 13:05,R_1onXwmNifCZLbDs,,,,,34.05439758,-118.2440033,anonymous,EN,1,AYNX7JM38PMN9,4,6,2,7,7,3,7,2,6,5,6,7,3,7,6,3,2,2,5,6,1,1,7,6,6,6,6,7,2,7,6,2,1,good,good,1,28,1,1,CA,4,6,6,5,1,4.077,4.077,6.49,1
5/19/20 13:02,5/19/20 13:06,0,97.95.113.4,100,196,1,5/19/20 13:06,R_2S0nATJ6ua6QgDd,,,,,43.17720032,-85.24729919,anonymous,EN,1,A2VFEDAK5C1E1O,4,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,COVID 19 was not manufactured in a Chinese lab.  This is just propaganda to push Donald Trump's agenda.,No,1,39,1,2,Michigan,4,5,4,4,1,2.755,2.755,6.105,1
5/19/20 13:03,5/19/20 13:06,0,98.111.207.14,100,130,1,5/19/20 13:06,R_1KqY0EDdj9GOCPp,,,,,40.36849976,-80.05039978,anonymous,EN,1,A2LED6ZGVIMIJT,4,4,4,3,4,5,6,2,4,7,6,7,2,2,6,3,1,7,4,7,7,1,6,5,5,6,6,6,4,5,3,3,1,It made the most sense ,It was fun and interesting ,2,24,1,1,California ,4,2,5,5,1,0.419,7.764,8.2,5
5/19/20 13:03,5/19/20 13:06,0,71.233.222.1,100,151,1,5/19/20 13:06,R_eLlQrL5wi7t9qk9,,,,,42.58110046,-71.43869781,anonymous,EN,1,AMTTB8JUWRRM7,5,3,7,3,1,1,1,7,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,3,4,5,5,1,1,I answered as I truly felt. I didn't think about it too much and went with my gut.,,2,23,1,4,Massachusetts,5,1,1,1,1,1.886,5.741,6.309,2
5/19/20 13:03,5/19/20 13:06,0,38.68.40.214,100,186,1,5/19/20 13:06,R_2cAQ7iq2M3DgG6Q,,,,,37.75100708,-97.8219986,anonymous,EN,1,A1Z26KLD8VFYUD,3,6,4,4,3,3,5,2,4,3,3,4,3,5,4,4,2,5,4,5,3,1,4,5,5,4,5,3,4,6,5,4,1,I like that and its good                                                                                             ,good,2,27,1,1,VA,4,27,5,5,1,5.185,5.185,7.134,1
5/19/20 13:03,5/19/20 13:07,0,32.208.144.218,100,224,1,5/19/20 13:07,R_3iQOKTaoqS8EM6w,,,,,41.68530273,-72.92960358,anonymous,EN,1,ACFPXI6LMHSZU,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,I thought about how I felt and then selected the corresponding response.  I feel that some politicians are making political gain out of this.  Mostly republicans.,The Trump admin really bungled this one.,1,38,1,4,Connecticut,5,1,1,1,1,5.302,5.302,6.09,1
5/19/20 13:03,5/19/20 13:07,0,104.37.31.118,100,230,1,5/19/20 13:07,R_2ZPoeFEJU4dnfK5,,,,,40.78759766,-74.05999756,anonymous,EN,1,A11EL5LWS2L1HX,5,5,1,1,1,3,1,3,1,1,1,1,3,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,7,1,1,1,1,I answered them based on my morals. ,fun,4,20,1,1,oh,5,3,3,3,1,1.715,4.314,5.559,5
5/19/20 13:03,5/19/20 13:07,0,98.255.111.155,100,274,1,5/19/20 13:07,R_2rA9IJahkyrkCp3,,,,,38.6710968,-121.1495056,anonymous,EN,1,A3D25MW501ZPT3,3,2,3,1,2,2,3,2,3,3,3,1,1,2,1,1,2,5,7,3,2,0,2,3,6,1,3,2,1,3,1,2,1,I believe that the virus is a big threat and will have long lasting impact on the world and the economy. ,no,1,32,4,1,ca,5,8,3,3,1,11.417,11.417,12.225,1
5/19/20 13:03,5/19/20 13:07,0,71.38.250.183,100,233,1,5/19/20 13:07,R_tMp8murtBmaz7Et,,,,,36.1289978,-115.2764969,anonymous,EN,1,A9OSWRV7X10FW,3,4,4,5,4,5,5,2,5,6,4,5,3,5,4,3,4,3,4,5,5,1,4,5,5,5,6,5,3,5,6,3,1,like,good,1,32,2,3,nv,4,5,5,6,0,3.324,3.324,6.352,1
5/19/20 13:04,5/19/20 13:07,0,73.184.180.238,100,194,1,5/19/20 13:07,R_1nVZstpkQAbT7oG,,,,,33.93719482,-84.07910156,anonymous,EN,1,AUS3O4CPGHYR5,4,2,5,2,3,3,1,2,1,1,2,2,3,3,2,2,2,2,2,1,3,1,1,1,2,1,2,2,1,5,1,2,1,"I have a background in medicine, some of these statements are outrageous and sadly is what people actually think.",,1,29,4,3,GA,5,5,3,3,1,1.654,1.654,6.688,1
